State,Income_2010,,
,,,
The United States,"64,300",,
Alabama,"53,420",,
Alaska,"75,490",,
Arizona,"61,200",,
Arkansas,"50,350",,
California,"70,840",,
Colorado,"78,600",,
Connecticut,"86,120",,
Delaware,"72,050",,
District of Columbia,"74,290",,
Florida,"57,500",,
Georgia,"57,570",,
Hawaii,"77,700",,
Idaho,"61,400",,
Illinois,"66,200",,
Indiana,"60,210",,
Iowa,"63,960",,
Kansas,"60,100",,
Kentucky,"53,640",,
Louisiana,"51,280",,
Maine,"62,550",,
Maryland,"83,780",,
Massachusetts,"79,520",,
Michigan,"60,390",,
Minnesota,"68,280",,
Mississippi,"49,800",,
Missouri,"59,790",,
Montana,"53,870",,
Nebraska,"68,510",,
Nevada,"66,810",,
New Hampshire,"86,950",,
New Jersey,"82,170",,
New Mexico,"58,900",,
New York,"64,960",,
North Carolina,"57,200",,
North Dakota,"66,560",,
Ohio,"59,880",,
Oklahoma,"56,250",,
Oregon,"66,030",,
Pennsylvania,"63,050",,
Rhode Island,"67,370",,
South Carolina,"54,410",,
South Dakota,"59,180",,
Tennessee,"50,360",,
Texas,"61,680",,
Utah,"73,990",,
Vermont,"72,980",,
Virginia,"78,780",,
Washington,"73,290",,
West Virginia,"55,820",,
Wisconsin,"65,710",,
Wyoming,"68,120",,
